dataset,cluster_id,num_train_samples,num_clients_in_cluster,test_loss,test_accuracy
Combined,0,2741023,3,0.16766145825386047,0.9683483242988586
Combined,1,2741025,3,0.16526399552822113,0.9679147005081177
Combined,2,3654698,4,0.17713841795921326,0.9664396643638611
