,precision,recall,f1-score,support
0,0.8072866730584851,0.9355555555555556,0.8667009778692744,900.0
1,0.7376811594202899,0.564927857935627,0.6398491514770585,901.0
2,0.633130081300813,0.6914539400665927,0.6610079575596817,901.0
3,0.9183445190156599,0.9112097669256382,0.9147632311977716,901.0
4,0.8048533872598584,0.8834628190899001,0.8423280423280424,901.0
5,0.9649941656942824,0.9178690344062154,0.9408418657565415,901.0
6,0.9740871613663133,0.9178690344062154,0.9451428571428572,901.0
7,0.9766443708621824,0.9990538390770278,0.9877220146419564,1031537.0
8,0.7079141012163989,0.9634171265072553,0.8161357340720221,4893.0
9,0.9959117305458769,0.9987188147872068,0.9973132974330942,42929.0
10,0.0,0.0,0.0,91.0
11,0.0,0.0,0.0,34.0
12,0.9999805644095467,1.0,0.9999902821103369,102902.0
13,0.7288135593220338,0.9961389961389961,0.8417618270799347,259.0
14,0.0,0.0,0.0,383.0
15,0.0,0.0,0.0,386.0
16,0.9942056419963987,0.9965867937844937,0.9953947938635773,86429.0
17,0.0,0.0,0.0,316.0
18,0.9999714944509198,0.9989937887019558,0.999482402475604,316037.0
19,0.0,0.0,0.0,467.0
20,0.9942528735632183,0.8334671591456561,0.9067878046649778,6227.0
21,0.984982508034927,0.9996391819533246,0.9922567243293579,69287.0
22,0.7453396271701737,0.44395730080060997,0.5564614879192425,20984.0
23,0.8460334029227558,0.9836165048543689,0.909652076318743,1648.0
24,0.6886963476406291,0.8906702523789822,0.776768800553267,29004.0
25,0.0,0.0,0.0,24290.0
26,0.0,0.0,0.0,158.0
27,0.9962988590830826,0.997197480954145,0.9967479674796748,62087.0
28,0.9759323147691802,0.9982635485226159,0.9869716311074805,35705.0
29,0.9883720930232558,0.5944055944055944,0.74235807860262,143.0
30,0.0,0.0,0.0,337.0
31,0.0,0.0,0.0,12798.0
32,0.0,0.0,0.0,11.0
33,0.8394349291353123,0.998681825671445,0.9121601284237986,72828.0
34,0.0,0.0,0.0,1248.0
35,0.0,0.0,0.0,13.0
36,0.9986157941437445,0.9998933864032126,0.9992541819085841,28139.0
accuracy,0.969488363920902,0.969488363920902,0.969488363920902,0.969488363920902
macro avg,0.5757237124163606,0.5814878270938548,0.5737257653058243,1957876.0
weighted avg,0.9507722591284371,0.969488363920902,0.9591102724653067,1957876.0
