dataset,method,num_clients,num_rounds,mu,final_test_loss,final_test_acc
CSE_CIC_IDS2018,FedProx,10,5,0.001,0.12065798044204712,0.9702473878860474
CIC_IIoT_2025,FedProx,10,5,0.001,1.7758538722991943,0.35156992077827454
CIC_BCCC_IoMT_2024,FedProx,10,5,0.001,0.12295335531234741,0.9664314389228821
Combined,FedProx,10,5,0.001,0.11934413760900497,0.9679142236709595
