dataset,client_id,num_samples,personalized_loss,personalized_acc
CSE_CIC_IDS2018,0,673761,0.10582470893859863,0.9710015654563904
CSE_CIC_IDS2018,1,673761,0.10711663216352463,0.9710060358047485
CSE_CIC_IDS2018,2,673761,0.10427458584308624,0.971558153629303
CSE_CIC_IDS2018,3,673760,0.11003427952528,0.9695010185241699
CSE_CIC_IDS2018,4,673760,0.10439322888851166,0.971120297908783
CSE_CIC_IDS2018,5,673760,0.10913590341806412,0.9665132761001587
CSE_CIC_IDS2018,6,673760,0.10540089756250381,0.9710341691970825
CSE_CIC_IDS2018,7,673760,0.10430561751127243,0.971112847328186
CSE_CIC_IDS2018,8,673760,0.11907577514648438,0.9697577953338623
CSE_CIC_IDS2018,9,673760,0.10501784086227417,0.9710906147956848
CIC_IIoT_2025,0,2943,1.8402929306030273,0.38566088676452637
CIC_IIoT_2025,1,2943,1.645697832107544,0.44580361247062683
CIC_IIoT_2025,2,2943,1.7520029544830322,0.34998300671577454
CIC_IIoT_2025,3,2943,1.7631670236587524,0.31838259100914
CIC_IIoT_2025,4,2942,1.7295589447021484,0.3905506432056427
CIC_IIoT_2025,5,2942,1.7417495250701904,0.404486745595932
CIC_IIoT_2025,6,2942,1.6554642915725708,0.4428959786891937
CIC_IIoT_2025,7,2942,1.875294804573059,0.3793337941169739
CIC_IIoT_2025,8,2942,1.8243796825408936,0.33786541223526
CIC_IIoT_2025,9,2942,1.958910346031189,0.36131882667541504
CIC_BCCC_IoMT_2024,0,236972,0.8205769658088684,0.8426986932754517
CIC_BCCC_IoMT_2024,1,236972,0.12373554706573486,0.9664475321769714
CIC_BCCC_IoMT_2024,2,236972,0.12159677594900131,0.9660044312477112
CIC_BCCC_IoMT_2024,3,236972,0.12131369113922119,0.9664559364318848
CIC_BCCC_IoMT_2024,4,236972,0.11693078279495239,0.9664095044136047
CIC_BCCC_IoMT_2024,5,236972,0.11940615624189377,0.966038167476654
CIC_BCCC_IoMT_2024,6,236972,0.11858867108821869,0.9665066003799438
CIC_BCCC_IoMT_2024,7,236972,0.11673828214406967,0.9663040637969971
CIC_BCCC_IoMT_2024,8,236972,0.12301521748304367,0.96638423204422
CIC_BCCC_IoMT_2024,9,236971,0.11608631163835526,0.9669917225837708
Combined,0,913675,0.11173304170370102,0.9690611958503723
Combined,1,913675,0.11399882286787033,0.9684712886810303
Combined,2,913675,0.11213058978319168,0.9689791202545166
Combined,3,913675,0.1152338907122612,0.9683771729469299
Combined,4,913675,0.11379535496234894,0.9684548377990723
Combined,5,913675,0.11238829791545868,0.9689013957977295
Combined,6,913674,0.11405841261148453,0.9686836004257202
Combined,7,913674,0.11268889904022217,0.9685828685760498
Combined,8,913674,0.11447017639875412,0.9679973125457764
Combined,9,913674,0.11402802169322968,0.9687612652778625
